keyword,target_url,city,priority,page_type,target_indexable
"maid service in rajokari",/delhi/rajokari,delhi,medium,"locality hub",yes
"maid agency in rajokari",/delhi/rajokari,delhi,medium,"locality hub",yes
"domestic help in rajokari",/delhi/rajokari,delhi,medium,"locality hub",yes
"full-time maid in rajokari",/delhi/rajokari/full-time-maid,delhi,medium,"service x locality (full-time-maid)",no
"part-time maid in rajokari",/delhi/rajokari/part-time-maid,delhi,medium,"service x locality (part-time-maid)",no
"cook in rajokari",/delhi/rajokari/cook,delhi,medium,"service x locality (cook)",no
"babysitter / nanny in rajokari",/delhi/rajokari/babysitter-nanny,delhi,medium,"service x locality (babysitter-nanny)",no
"elder care in rajokari",/delhi/rajokari/elder-care,delhi,medium,"service x locality (elder-care)",no
"maid service in najafgarh",/delhi/najafgarh,delhi,medium,"locality hub",yes
"maid agency in najafgarh",/delhi/najafgarh,delhi,medium,"locality hub",yes
"domestic help in najafgarh",/delhi/najafgarh,delhi,medium,"locality hub",yes
"full-time maid in najafgarh",/delhi/najafgarh/full-time-maid,delhi,medium,"service x locality (full-time-maid)",yes
"part-time maid in najafgarh",/delhi/najafgarh/part-time-maid,delhi,medium,"service x locality (part-time-maid)",yes
"cook in najafgarh",/delhi/najafgarh/cook,delhi,medium,"service x locality (cook)",yes
"babysitter / nanny in najafgarh",/delhi/najafgarh/babysitter-nanny,delhi,medium,"service x locality (babysitter-nanny)",yes
"elder care in najafgarh",/delhi/najafgarh/elder-care,delhi,medium,"service x locality (elder-care)",yes
"maid service in palam",/delhi/palam,delhi,medium,"locality hub",yes
"maid agency in palam",/delhi/palam,delhi,medium,"locality hub",yes
"domestic help in palam",/delhi/palam,delhi,medium,"locality hub",yes
"full-time maid in palam",/delhi/palam/full-time-maid,delhi,medium,"service x locality (full-time-maid)",yes
"part-time maid in palam",/delhi/palam/part-time-maid,delhi,medium,"service x locality (part-time-maid)",yes
"cook in palam",/delhi/palam/cook,delhi,medium,"service x locality (cook)",yes
"babysitter / nanny in palam",/delhi/palam/babysitter-nanny,delhi,medium,"service x locality (babysitter-nanny)",yes
"elder care in palam",/delhi/palam/elder-care,delhi,medium,"service x locality (elder-care)",yes
"maid service in nangal raya",/delhi/nangal-raya,delhi,medium,"locality hub",yes
"maid agency in nangal raya",/delhi/nangal-raya,delhi,medium,"locality hub",yes
"domestic help in nangal raya",/delhi/nangal-raya,delhi,medium,"locality hub",yes
"full-time maid in nangal raya",/delhi/nangal-raya/full-time-maid,delhi,medium,"service x locality (full-time-maid)",yes
"part-time maid in nangal raya",/delhi/nangal-raya/part-time-maid,delhi,medium,"service x locality (part-time-maid)",yes
"cook in nangal raya",/delhi/nangal-raya/cook,delhi,medium,"service x locality (cook)",yes
"babysitter / nanny in nangal raya",/delhi/nangal-raya/babysitter-nanny,delhi,medium,"service x locality (babysitter-nanny)",yes
"elder care in nangal raya",/delhi/nangal-raya/elder-care,delhi,medium,"service x locality (elder-care)",yes
"maid service in arjun garh",/delhi/arjun-garh,delhi,medium,"locality hub",yes
"maid agency in arjun garh",/delhi/arjun-garh,delhi,medium,"locality hub",yes
"domestic help in arjun garh",/delhi/arjun-garh,delhi,medium,"locality hub",yes
"full-time maid in arjun garh",/delhi/arjun-garh/full-time-maid,delhi,medium,"service x locality (full-time-maid)",yes
"part-time maid in arjun garh",/delhi/arjun-garh/part-time-maid,delhi,medium,"service x locality (part-time-maid)",yes
"cook in arjun garh",/delhi/arjun-garh/cook,delhi,medium,"service x locality (cook)",yes
"babysitter / nanny in arjun garh",/delhi/arjun-garh/babysitter-nanny,delhi,medium,"service x locality (babysitter-nanny)",yes
"elder care in arjun garh",/delhi/arjun-garh/elder-care,delhi,medium,"service x locality (elder-care)",yes
"maid service in chhawla",/delhi/chhawla,delhi,medium,"locality hub",yes
"maid agency in chhawla",/delhi/chhawla,delhi,medium,"locality hub",yes
"domestic help in chhawla",/delhi/chhawla,delhi,medium,"locality hub",yes
"full-time maid in chhawla",/delhi/chhawla/full-time-maid,delhi,medium,"service x locality (full-time-maid)",yes
"part-time maid in chhawla",/delhi/chhawla/part-time-maid,delhi,medium,"service x locality (part-time-maid)",yes
"cook in chhawla",/delhi/chhawla/cook,delhi,medium,"service x locality (cook)",yes
"babysitter / nanny in chhawla",/delhi/chhawla/babysitter-nanny,delhi,medium,"service x locality (babysitter-nanny)",yes
"elder care in chhawla",/delhi/chhawla/elder-care,delhi,medium,"service x locality (elder-care)",yes
"maid service in mahavir enclave",/delhi/mahavir-enclave,delhi,medium,"locality hub",yes
"maid agency in mahavir enclave",/delhi/mahavir-enclave,delhi,medium,"locality hub",yes
"domestic help in mahavir enclave",/delhi/mahavir-enclave,delhi,medium,"locality hub",yes
"full-time maid in mahavir enclave",/delhi/mahavir-enclave/full-time-maid,delhi,medium,"service x locality (full-time-maid)",yes
"part-time maid in mahavir enclave",/delhi/mahavir-enclave/part-time-maid,delhi,medium,"service x locality (part-time-maid)",yes
"cook in mahavir enclave",/delhi/mahavir-enclave/cook,delhi,medium,"service x locality (cook)",yes
"babysitter / nanny in mahavir enclave",/delhi/mahavir-enclave/babysitter-nanny,delhi,medium,"service x locality (babysitter-nanny)",yes
"elder care in mahavir enclave",/delhi/mahavir-enclave/elder-care,delhi,medium,"service x locality (elder-care)",yes
"maid service in ramesh nagar",/delhi/ramesh-nagar,delhi,high,"locality hub",yes
"maid agency in ramesh nagar",/delhi/ramesh-nagar,delhi,high,"locality hub",yes
"domestic help in ramesh nagar",/delhi/ramesh-nagar,delhi,high,"locality hub",yes
"full-time maid in ramesh nagar",/delhi/ramesh-nagar/full-time-maid,delhi,high,"service x locality (full-time-maid)",yes
"part-time maid in ramesh nagar",/delhi/ramesh-nagar/part-time-maid,delhi,high,"service x locality (part-time-maid)",yes
"cook in ramesh nagar",/delhi/ramesh-nagar/cook,delhi,high,"service x locality (cook)",yes
"babysitter / nanny in ramesh nagar",/delhi/ramesh-nagar/babysitter-nanny,delhi,high,"service x locality (babysitter-nanny)",yes
"elder care in ramesh nagar",/delhi/ramesh-nagar/elder-care,delhi,high,"service x locality (elder-care)",yes
"maid service in punjabi bagh",/delhi/punjabi-bagh,delhi,high,"locality hub",yes
"maid agency in punjabi bagh",/delhi/punjabi-bagh,delhi,high,"locality hub",yes
"domestic help in punjabi bagh",/delhi/punjabi-bagh,delhi,high,"locality hub",yes
"full-time maid in punjabi bagh",/delhi/punjabi-bagh/full-time-maid,delhi,high,"service x locality (full-time-maid)",yes
"part-time maid in punjabi bagh",/delhi/punjabi-bagh/part-time-maid,delhi,high,"service x locality (part-time-maid)",yes
"cook in punjabi bagh",/delhi/punjabi-bagh/cook,delhi,high,"service x locality (cook)",yes
"babysitter / nanny in punjabi bagh",/delhi/punjabi-bagh/babysitter-nanny,delhi,high,"service x locality (babysitter-nanny)",yes
"elder care in punjabi bagh",/delhi/punjabi-bagh/elder-care,delhi,high,"service x locality (elder-care)",yes
"maid service in rajouri garden",/delhi/rajouri-garden,delhi,high,"locality hub",yes
"maid agency in rajouri garden",/delhi/rajouri-garden,delhi,high,"locality hub",yes
"domestic help in rajouri garden",/delhi/rajouri-garden,delhi,high,"locality hub",yes
"full-time maid in rajouri garden",/delhi/rajouri-garden/full-time-maid,delhi,high,"service x locality (full-time-maid)",yes
"part-time maid in rajouri garden",/delhi/rajouri-garden/part-time-maid,delhi,high,"service x locality (part-time-maid)",yes
"cook in rajouri garden",/delhi/rajouri-garden/cook,delhi,high,"service x locality (cook)",yes
"babysitter / nanny in rajouri garden",/delhi/rajouri-garden/babysitter-nanny,delhi,high,"service x locality (babysitter-nanny)",yes
"elder care in rajouri garden",/delhi/rajouri-garden/elder-care,delhi,high,"service x locality (elder-care)",yes
"maid service in tagore garden",/delhi/tagore-garden,delhi,high,"locality hub",yes
"maid agency in tagore garden",/delhi/tagore-garden,delhi,high,"locality hub",yes
"domestic help in tagore garden",/delhi/tagore-garden,delhi,high,"locality hub",yes
"full-time maid in tagore garden",/delhi/tagore-garden/full-time-maid,delhi,high,"service x locality (full-time-maid)",yes
"part-time maid in tagore garden",/delhi/tagore-garden/part-time-maid,delhi,high,"service x locality (part-time-maid)",yes
"cook in tagore garden",/delhi/tagore-garden/cook,delhi,high,"service x locality (cook)",yes
"babysitter / nanny in tagore garden",/delhi/tagore-garden/babysitter-nanny,delhi,high,"service x locality (babysitter-nanny)",yes
"elder care in tagore garden",/delhi/tagore-garden/elder-care,delhi,high,"service x locality (elder-care)",yes
"maid service in naraina",/delhi/naraina,delhi,high,"locality hub",yes
"maid agency in naraina",/delhi/naraina,delhi,high,"locality hub",yes
"domestic help in naraina",/delhi/naraina,delhi,high,"locality hub",yes
"full-time maid in naraina",/delhi/naraina/full-time-maid,delhi,high,"service x locality (full-time-maid)",yes
"part-time maid in naraina",/delhi/naraina/part-time-maid,delhi,high,"service x locality (part-time-maid)",yes
"cook in naraina",/delhi/naraina/cook,delhi,high,"service x locality (cook)",yes
"babysitter / nanny in naraina",/delhi/naraina/babysitter-nanny,delhi,high,"service x locality (babysitter-nanny)",yes
"elder care in naraina",/delhi/naraina/elder-care,delhi,high,"service x locality (elder-care)",yes
"maid service in janakpuri",/delhi/janakpuri,delhi,high,"locality hub",yes
"maid agency in janakpuri",/delhi/janakpuri,delhi,high,"locality hub",yes
"domestic help in janakpuri",/delhi/janakpuri,delhi,high,"locality hub",yes
"full-time maid in janakpuri",/delhi/janakpuri/full-time-maid,delhi,high,"service x locality (full-time-maid)",yes
"part-time maid in janakpuri",/delhi/janakpuri/part-time-maid,delhi,high,"service x locality (part-time-maid)",yes
"cook in janakpuri",/delhi/janakpuri/cook,delhi,high,"service x locality (cook)",yes
"babysitter / nanny in janakpuri",/delhi/janakpuri/babysitter-nanny,delhi,high,"service x locality (babysitter-nanny)",yes
"elder care in janakpuri",/delhi/janakpuri/elder-care,delhi,high,"service x locality (elder-care)",yes
"maid service in tilak nagar",/delhi/tilak-nagar,delhi,medium,"locality hub",yes
"maid agency in tilak nagar",/delhi/tilak-nagar,delhi,medium,"locality hub",yes
"domestic help in tilak nagar",/delhi/tilak-nagar,delhi,medium,"locality hub",yes
"full-time maid in tilak nagar",/delhi/tilak-nagar/full-time-maid,delhi,medium,"service x locality (full-time-maid)",yes
"part-time maid in tilak nagar",/delhi/tilak-nagar/part-time-maid,delhi,medium,"service x locality (part-time-maid)",yes
"cook in tilak nagar",/delhi/tilak-nagar/cook,delhi,medium,"service x locality (cook)",yes
"babysitter / nanny in tilak nagar",/delhi/tilak-nagar/babysitter-nanny,delhi,medium,"service x locality (babysitter-nanny)",yes
"elder care in tilak nagar",/delhi/tilak-nagar/elder-care,delhi,medium,"service x locality (elder-care)",yes
"maid service in nangloi",/delhi/nangloi,delhi,medium,"locality hub",yes
"maid agency in nangloi",/delhi/nangloi,delhi,medium,"locality hub",yes
"domestic help in nangloi",/delhi/nangloi,delhi,medium,"locality hub",yes
"full-time maid in nangloi",/delhi/nangloi/full-time-maid,delhi,medium,"service x locality (full-time-maid)",yes
"part-time maid in nangloi",/delhi/nangloi/part-time-maid,delhi,medium,"service x locality (part-time-maid)",yes
"cook in nangloi",/delhi/nangloi/cook,delhi,medium,"service x locality (cook)",yes
"babysitter / nanny in nangloi",/delhi/nangloi/babysitter-nanny,delhi,medium,"service x locality (babysitter-nanny)",yes
"elder care in nangloi",/delhi/nangloi/elder-care,delhi,medium,"service x locality (elder-care)",yes
"maid service in uttam nagar",/delhi/uttam-nagar,delhi,medium,"locality hub",yes
"maid agency in uttam nagar",/delhi/uttam-nagar,delhi,medium,"locality hub",yes
"domestic help in uttam nagar",/delhi/uttam-nagar,delhi,medium,"locality hub",yes
"full-time maid in uttam nagar",/delhi/uttam-nagar/full-time-maid,delhi,medium,"service x locality (full-time-maid)",yes
"part-time maid in uttam nagar",/delhi/uttam-nagar/part-time-maid,delhi,medium,"service x locality (part-time-maid)",yes
"cook in uttam nagar",/delhi/uttam-nagar/cook,delhi,medium,"service x locality (cook)",yes
"babysitter / nanny in uttam nagar",/delhi/uttam-nagar/babysitter-nanny,delhi,medium,"service x locality (babysitter-nanny)",yes
"elder care in uttam nagar",/delhi/uttam-nagar/elder-care,delhi,medium,"service x locality (elder-care)",yes
"maid service in paschim vihar",/delhi/paschim-vihar,delhi,medium,"locality hub",yes
"maid agency in paschim vihar",/delhi/paschim-vihar,delhi,medium,"locality hub",yes
"domestic help in paschim vihar",/delhi/paschim-vihar,delhi,medium,"locality hub",yes
"full-time maid in paschim vihar",/delhi/paschim-vihar/full-time-maid,delhi,medium,"service x locality (full-time-maid)",yes
"part-time maid in paschim vihar",/delhi/paschim-vihar/part-time-maid,delhi,medium,"service x locality (part-time-maid)",yes
"cook in paschim vihar",/delhi/paschim-vihar/cook,delhi,medium,"service x locality (cook)",yes
"babysitter / nanny in paschim vihar",/delhi/paschim-vihar/babysitter-nanny,delhi,medium,"service x locality (babysitter-nanny)",yes
"elder care in paschim vihar",/delhi/paschim-vihar/elder-care,delhi,medium,"service x locality (elder-care)",yes
"maid service in hari nagar",/delhi/hari-nagar,delhi,medium,"locality hub",yes
"maid agency in hari nagar",/delhi/hari-nagar,delhi,medium,"locality hub",yes
"domestic help in hari nagar",/delhi/hari-nagar,delhi,medium,"locality hub",yes
"full-time maid in hari nagar",/delhi/hari-nagar/full-time-maid,delhi,medium,"service x locality (full-time-maid)",yes
"part-time maid in hari nagar",/delhi/hari-nagar/part-time-maid,delhi,medium,"service x locality (part-time-maid)",yes
"cook in hari nagar",/delhi/hari-nagar/cook,delhi,medium,"service x locality (cook)",yes
"babysitter / nanny in hari nagar",/delhi/hari-nagar/babysitter-nanny,delhi,medium,"service x locality (babysitter-nanny)",yes
"elder care in hari nagar",/delhi/hari-nagar/elder-care,delhi,medium,"service x locality (elder-care)",yes
"maid service in kamla nagar",/delhi/kamla-nagar,delhi,high,"locality hub",yes
"maid agency in kamla nagar",/delhi/kamla-nagar,delhi,high,"locality hub",yes
"domestic help in kamla nagar",/delhi/kamla-nagar,delhi,high,"locality hub",yes
"full-time maid in kamla nagar",/delhi/kamla-nagar/full-time-maid,delhi,high,"service x locality (full-time-maid)",yes
"part-time maid in kamla nagar",/delhi/kamla-nagar/part-time-maid,delhi,high,"service x locality (part-time-maid)",yes
"cook in kamla nagar",/delhi/kamla-nagar/cook,delhi,high,"service x locality (cook)",yes
"babysitter / nanny in kamla nagar",/delhi/kamla-nagar/babysitter-nanny,delhi,high,"service x locality (babysitter-nanny)",yes
"elder care in kamla nagar",/delhi/kamla-nagar/elder-care,delhi,high,"service x locality (elder-care)",yes
"maid service in model town",/delhi/model-town,delhi,medium,"locality hub",yes
"maid agency in model town",/delhi/model-town,delhi,medium,"locality hub",yes
"domestic help in model town",/delhi/model-town,delhi,medium,"locality hub",yes
"full-time maid in model town",/delhi/model-town/full-time-maid,delhi,medium,"service x locality (full-time-maid)",yes
"part-time maid in model town",/delhi/model-town/part-time-maid,delhi,medium,"service x locality (part-time-maid)",yes
"cook in model town",/delhi/model-town/cook,delhi,medium,"service x locality (cook)",yes
"babysitter / nanny in model town",/delhi/model-town/babysitter-nanny,delhi,medium,"service x locality (babysitter-nanny)",yes
"elder care in model town",/delhi/model-town/elder-care,delhi,medium,"service x locality (elder-care)",yes
"maid service in azadpur",/delhi/azadpur,delhi,medium,"locality hub",yes
"maid agency in azadpur",/delhi/azadpur,delhi,medium,"locality hub",yes
"domestic help in azadpur",/delhi/azadpur,delhi,medium,"locality hub",yes
"full-time maid in azadpur",/delhi/azadpur/full-time-maid,delhi,medium,"service x locality (full-time-maid)",yes
"part-time maid in azadpur",/delhi/azadpur/part-time-maid,delhi,medium,"service x locality (part-time-maid)",yes
"cook in azadpur",/delhi/azadpur/cook,delhi,medium,"service x locality (cook)",yes
"babysitter / nanny in azadpur",/delhi/azadpur/babysitter-nanny,delhi,medium,"service x locality (babysitter-nanny)",yes
"elder care in azadpur",/delhi/azadpur/elder-care,delhi,medium,"service x locality (elder-care)",yes
"maid service in civil lines",/delhi/civil-lines,delhi,medium,"locality hub",yes
"maid agency in civil lines",/delhi/civil-lines,delhi,medium,"locality hub",yes
"domestic help in civil lines",/delhi/civil-lines,delhi,medium,"locality hub",yes
"full-time maid in civil lines",/delhi/civil-lines/full-time-maid,delhi,medium,"service x locality (full-time-maid)",yes
"part-time maid in civil lines",/delhi/civil-lines/part-time-maid,delhi,medium,"service x locality (part-time-maid)",yes
"cook in civil lines",/delhi/civil-lines/cook,delhi,medium,"service x locality (cook)",yes
"babysitter / nanny in civil lines",/delhi/civil-lines/babysitter-nanny,delhi,medium,"service x locality (babysitter-nanny)",yes
"elder care in civil lines",/delhi/civil-lines/elder-care,delhi,medium,"service x locality (elder-care)",yes
"maid service in burari",/delhi/burari,delhi,medium,"locality hub",yes
"maid agency in burari",/delhi/burari,delhi,medium,"locality hub",yes
"domestic help in burari",/delhi/burari,delhi,medium,"locality hub",yes
"full-time maid in burari",/delhi/burari/full-time-maid,delhi,medium,"service x locality (full-time-maid)",yes
"part-time maid in burari",/delhi/burari/part-time-maid,delhi,medium,"service x locality (part-time-maid)",yes
"cook in burari",/delhi/burari/cook,delhi,medium,"service x locality (cook)",yes
"babysitter / nanny in burari",/delhi/burari/babysitter-nanny,delhi,medium,"service x locality (babysitter-nanny)",yes
"elder care in burari",/delhi/burari/elder-care,delhi,medium,"service x locality (elder-care)",yes
"maid service in ashok vihar",/delhi/ashok-vihar,delhi,high,"locality hub",yes
"maid agency in ashok vihar",/delhi/ashok-vihar,delhi,high,"locality hub",yes
"domestic help in ashok vihar",/delhi/ashok-vihar,delhi,high,"locality hub",yes
"full-time maid in ashok vihar",/delhi/ashok-vihar/full-time-maid,delhi,high,"service x locality (full-time-maid)",yes
"part-time maid in ashok vihar",/delhi/ashok-vihar/part-time-maid,delhi,high,"service x locality (part-time-maid)",yes
"cook in ashok vihar",/delhi/ashok-vihar/cook,delhi,high,"service x locality (cook)",yes
"babysitter / nanny in ashok vihar",/delhi/ashok-vihar/babysitter-nanny,delhi,high,"service x locality (babysitter-nanny)",yes
"elder care in ashok vihar",/delhi/ashok-vihar/elder-care,delhi,high,"service x locality (elder-care)",yes
"maid service in pitampura",/delhi/pitampura,delhi,medium,"locality hub",yes
"maid agency in pitampura",/delhi/pitampura,delhi,medium,"locality hub",yes
"domestic help in pitampura",/delhi/pitampura,delhi,medium,"locality hub",yes
"full-time maid in pitampura",/delhi/pitampura/full-time-maid,delhi,medium,"service x locality (full-time-maid)",yes
"part-time maid in pitampura",/delhi/pitampura/part-time-maid,delhi,medium,"service x locality (part-time-maid)",yes
"cook in pitampura",/delhi/pitampura/cook,delhi,medium,"service x locality (cook)",yes
"babysitter / nanny in pitampura",/delhi/pitampura/babysitter-nanny,delhi,medium,"service x locality (babysitter-nanny)",yes
"elder care in pitampura",/delhi/pitampura/elder-care,delhi,medium,"service x locality (elder-care)",yes
"maid service in shakurpur",/delhi/shakurpur,delhi,medium,"locality hub",yes
"maid agency in shakurpur",/delhi/shakurpur,delhi,medium,"locality hub",yes
"domestic help in shakurpur",/delhi/shakurpur,delhi,medium,"locality hub",yes
"full-time maid in shakurpur",/delhi/shakurpur/full-time-maid,delhi,medium,"service x locality (full-time-maid)",yes
"part-time maid in shakurpur",/delhi/shakurpur/part-time-maid,delhi,medium,"service x locality (part-time-maid)",yes
"cook in shakurpur",/delhi/shakurpur/cook,delhi,medium,"service x locality (cook)",yes
"babysitter / nanny in shakurpur",/delhi/shakurpur/babysitter-nanny,delhi,medium,"service x locality (babysitter-nanny)",yes
"elder care in shakurpur",/delhi/shakurpur/elder-care,delhi,medium,"service x locality (elder-care)",yes
"maid service in alipur",/delhi/alipur,delhi,medium,"locality hub",yes
"maid agency in alipur",/delhi/alipur,delhi,medium,"locality hub",yes
"domestic help in alipur",/delhi/alipur,delhi,medium,"locality hub",yes
"full-time maid in alipur",/delhi/alipur/full-time-maid,delhi,medium,"service x locality (full-time-maid)",yes
"part-time maid in alipur",/delhi/alipur/part-time-maid,delhi,medium,"service x locality (part-time-maid)",yes
"cook in alipur",/delhi/alipur/cook,delhi,medium,"service x locality (cook)",yes
"babysitter / nanny in alipur",/delhi/alipur/babysitter-nanny,delhi,medium,"service x locality (babysitter-nanny)",yes
"elder care in alipur",/delhi/alipur/elder-care,delhi,medium,"service x locality (elder-care)",yes
"maid service in bawana",/delhi/bawana,delhi,medium,"locality hub",yes
"maid agency in bawana",/delhi/bawana,delhi,medium,"locality hub",yes
"domestic help in bawana",/delhi/bawana,delhi,medium,"locality hub",yes
"full-time maid in bawana",/delhi/bawana/full-time-maid,delhi,medium,"service x locality (full-time-maid)",yes
"part-time maid in bawana",/delhi/bawana/part-time-maid,delhi,medium,"service x locality (part-time-maid)",yes
"cook in bawana",/delhi/bawana/cook,delhi,medium,"service x locality (cook)",no
"babysitter / nanny in bawana",/delhi/bawana/babysitter-nanny,delhi,medium,"service x locality (babysitter-nanny)",yes
"elder care in bawana",/delhi/bawana/elder-care,delhi,medium,"service x locality (elder-care)",yes
"maid service in narela",/delhi/narela,delhi,medium,"locality hub",yes
"maid agency in narela",/delhi/narela,delhi,medium,"locality hub",yes
"domestic help in narela",/delhi/narela,delhi,medium,"locality hub",yes
"full-time maid in narela",/delhi/narela/full-time-maid,delhi,medium,"service x locality (full-time-maid)",yes
"part-time maid in narela",/delhi/narela/part-time-maid,delhi,medium,"service x locality (part-time-maid)",yes
"cook in narela",/delhi/narela/cook,delhi,medium,"service x locality (cook)",no
"babysitter / nanny in narela",/delhi/narela/babysitter-nanny,delhi,medium,"service x locality (babysitter-nanny)",yes
"elder care in narela",/delhi/narela/elder-care,delhi,medium,"service x locality (elder-care)",yes
"maid service in samaypur badli",/delhi/samaypur-badli,delhi,medium,"locality hub",yes
"maid agency in samaypur badli",/delhi/samaypur-badli,delhi,medium,"locality hub",yes
"domestic help in samaypur badli",/delhi/samaypur-badli,delhi,medium,"locality hub",yes
"full-time maid in samaypur badli",/delhi/samaypur-badli/full-time-maid,delhi,medium,"service x locality (full-time-maid)",yes
"part-time maid in samaypur badli",/delhi/samaypur-badli/part-time-maid,delhi,medium,"service x locality (part-time-maid)",yes
"cook in samaypur badli",/delhi/samaypur-badli/cook,delhi,medium,"service x locality (cook)",yes
"babysitter / nanny in samaypur badli",/delhi/samaypur-badli/babysitter-nanny,delhi,medium,"service x locality (babysitter-nanny)",yes
"elder care in samaypur badli",/delhi/samaypur-badli/elder-care,delhi,medium,"service x locality (elder-care)",yes
"maid service in shakur basti",/delhi/shakur-basti,delhi,medium,"locality hub",yes
"maid agency in shakur basti",/delhi/shakur-basti,delhi,medium,"locality hub",yes
"domestic help in shakur basti",/delhi/shakur-basti,delhi,medium,"locality hub",yes
"full-time maid in shakur basti",/delhi/shakur-basti/full-time-maid,delhi,medium,"service x locality (full-time-maid)",yes
"part-time maid in shakur basti",/delhi/shakur-basti/part-time-maid,delhi,medium,"service x locality (part-time-maid)",yes
"cook in shakur basti",/delhi/shakur-basti/cook,delhi,medium,"service x locality (cook)",yes
"babysitter / nanny in shakur basti",/delhi/shakur-basti/babysitter-nanny,delhi,medium,"service x locality (babysitter-nanny)",yes
"elder care in shakur basti",/delhi/shakur-basti/elder-care,delhi,medium,"service x locality (elder-care)",yes
"maid service in kanjhawala",/delhi/kanjhawala,delhi,medium,"locality hub",yes
"maid agency in kanjhawala",/delhi/kanjhawala,delhi,medium,"locality hub",yes
"domestic help in kanjhawala",/delhi/kanjhawala,delhi,medium,"locality hub",yes
"full-time maid in kanjhawala",/delhi/kanjhawala/full-time-maid,delhi,medium,"service x locality (full-time-maid)",yes
"part-time maid in kanjhawala",/delhi/kanjhawala/part-time-maid,delhi,medium,"service x locality (part-time-maid)",yes
"cook in kanjhawala",/delhi/kanjhawala/cook,delhi,medium,"service x locality (cook)",yes
"babysitter / nanny in kanjhawala",/delhi/kanjhawala/babysitter-nanny,delhi,medium,"service x locality (babysitter-nanny)",yes
"elder care in kanjhawala",/delhi/kanjhawala/elder-care,delhi,medium,"service x locality (elder-care)",yes
"maid service in rohini",/delhi/rohini,delhi,medium,"locality hub",yes
"maid agency in rohini",/delhi/rohini,delhi,medium,"locality hub",yes
"domestic help in rohini",/delhi/rohini,delhi,medium,"locality hub",yes
"full-time maid in rohini",/delhi/rohini/full-time-maid,delhi,medium,"service x locality (full-time-maid)",yes
"part-time maid in rohini",/delhi/rohini/part-time-maid,delhi,medium,"service x locality (part-time-maid)",yes
"cook in rohini",/delhi/rohini/cook,delhi,medium,"service x locality (cook)",yes
"babysitter / nanny in rohini",/delhi/rohini/babysitter-nanny,delhi,medium,"service x locality (babysitter-nanny)",yes
"elder care in rohini",/delhi/rohini/elder-care,delhi,medium,"service x locality (elder-care)",yes
"maid service in shalimar bagh",/delhi/shalimar-bagh,delhi,medium,"locality hub",yes
"maid agency in shalimar bagh",/delhi/shalimar-bagh,delhi,medium,"locality hub",yes
"domestic help in shalimar bagh",/delhi/shalimar-bagh,delhi,medium,"locality hub",yes
"full-time maid in shalimar bagh",/delhi/shalimar-bagh/full-time-maid,delhi,medium,"service x locality (full-time-maid)",yes
"part-time maid in shalimar bagh",/delhi/shalimar-bagh/part-time-maid,delhi,medium,"service x locality (part-time-maid)",yes
"cook in shalimar bagh",/delhi/shalimar-bagh/cook,delhi,medium,"service x locality (cook)",yes
"babysitter / nanny in shalimar bagh",/delhi/shalimar-bagh/babysitter-nanny,delhi,medium,"service x locality (babysitter-nanny)",yes
"elder care in shalimar bagh",/delhi/shalimar-bagh/elder-care,delhi,medium,"service x locality (elder-care)",yes
"maid service in mayur vihar",/delhi/mayur-vihar,delhi,high,"locality hub",yes
"maid agency in mayur vihar",/delhi/mayur-vihar,delhi,high,"locality hub",yes
"domestic help in mayur vihar",/delhi/mayur-vihar,delhi,high,"locality hub",yes
"full-time maid in mayur vihar",/delhi/mayur-vihar/full-time-maid,delhi,high,"service x locality (full-time-maid)",yes
"part-time maid in mayur vihar",/delhi/mayur-vihar/part-time-maid,delhi,high,"service x locality (part-time-maid)",yes
"cook in mayur vihar",/delhi/mayur-vihar/cook,delhi,high,"service x locality (cook)",yes
"babysitter / nanny in mayur vihar",/delhi/mayur-vihar/babysitter-nanny,delhi,high,"service x locality (babysitter-nanny)",yes
"elder care in mayur vihar",/delhi/mayur-vihar/elder-care,delhi,high,"service x locality (elder-care)",yes
"maid service in mayur vihar phase iii",/delhi/mayur-vihar-phase-3,delhi,medium,"locality hub",yes
"maid agency in mayur vihar phase iii",/delhi/mayur-vihar-phase-3,delhi,medium,"locality hub",yes
"domestic help in mayur vihar phase iii",/delhi/mayur-vihar-phase-3,delhi,medium,"locality hub",yes
"full-time maid in mayur vihar phase iii",/delhi/mayur-vihar-phase-3/full-time-maid,delhi,medium,"service x locality (full-time-maid)",yes
"part-time maid in mayur vihar phase iii",/delhi/mayur-vihar-phase-3/part-time-maid,delhi,medium,"service x locality (part-time-maid)",yes
"cook in mayur vihar phase iii",/delhi/mayur-vihar-phase-3/cook,delhi,medium,"service x locality (cook)",yes
"babysitter / nanny in mayur vihar phase iii",/delhi/mayur-vihar-phase-3/babysitter-nanny,delhi,medium,"service x locality (babysitter-nanny)",yes
"elder care in mayur vihar phase iii",/delhi/mayur-vihar-phase-3/elder-care,delhi,medium,"service x locality (elder-care)",yes
"maid service in preet vihar",/delhi/preet-vihar,delhi,high,"locality hub",yes
"maid agency in preet vihar",/delhi/preet-vihar,delhi,high,"locality hub",yes
"domestic help in preet vihar",/delhi/preet-vihar,delhi,high,"locality hub",yes
"full-time maid in preet vihar",/delhi/preet-vihar/full-time-maid,delhi,high,"service x locality (full-time-maid)",yes
"part-time maid in preet vihar",/delhi/preet-vihar/part-time-maid,delhi,high,"service x locality (part-time-maid)",yes
